"cas_number","dtxsid","preferred_name","mw_g_mol"
"40143-77-9","DTXSID00786953","Bis(tridecafluorohexyl)phosphinic acid",702.07
"80-05-7","DTXSID7020182","Bisphenol A",228.291
"76002-91-0","DTXSID90997359","2-[4-(2,3-Dihydroxypropoxy)phenyl]-2-[4-(2,3-epoxypropoxy)phenyl]propane",358.434
"13836-48-1","DTXSID30400216","BADGE-HCl",376.88
"4809-35-2","DTXSID10963995","1,1'-{Propane-2,2-diylbis[(4,1-phenylene)oxy]}bis(3-chloropropan-2-ol)",413.34
"1675-54-3","DTXSID6024624","Bisphenol A diglycidyl ether",340.419
"79-94-7","DTXSID1026081","3,3',5,5'-Tetrabromobisphenol A",543.875
"80-09-1","DTXSID3022409","4,4'-Sulfonyldiphenol",250.27
"70807-24-8",NA,NA,NA
"1770-80-5","DTXSID1051802","Dibutyl chlorendate",501.04
"108-80-5","DTXSID7024873","Cyanuric acid",129.075
"211915-06-9","DTXSID4057681","Dabigatran etexilate",627.746
"111-96-6","DTXSID1024621","Diethylene glycol dimethyl ether",134.175
"138-25-0","DTXSID9027071","1,3-Benzenedicarboxylic acid, 5-sulfo-, 1,3-dimethyl ester",274.24
"121-69-7","DTXSID2020507","N,N-Dimethylaniline",121.183
"793-24-8","DTXSID9025114","6PPD",268.404
"838-85-7","DTXSID1048207","Diphenyl phosphate",250.19
"13252-13-6","DTXSID70880215","Perfluoro-2-methyl-3-oxahexanoic acid",330.053
"2855-13-2","DTXSID6027503","Isophorone diamine",170.3
"569-64-2","DTXSID1025512","Malachite green",364.92
"108-78-1","DTXSID6020802","Melamine",126.123
"79-39-0","DTXSID8029600","Methacrylamide",85.106
"757-86-8","DTXSID20997120","Methyl [(dimethoxyphosphorothioyl)sulfanyl]acetate",230.23
"85-47-2","DTXSID7048033","Naphthalene-1-sulfonic acid",208.23
"86-87-3","DTXSID8020915","1-Naphthaleneacetic acid",186.21
"3622-84-2","DTXSID7027540","N-Butylbenzenesulfonamide",213.3
"28291-75-0","DTXSID50891506","N-Cyclohexyl-2-benzothiazol-amine",232.35
"1691-99-2","DTXSID6027426","N-Ethyl-N-(2-hydroxyethyl)perfluorooctane sulfonamide",571.25
"7403-41-0","DTXSID30224838","Benzamide, N-ethyl-4-methoxy-",179.219
"4151-50-2","DTXSID1032646","N-Ethylperfluorooctane sulfonamide",527.2
"31506-32-8","DTXSID1067629","N-Methylperfluorooctanesulfonamide",513.17
"872-50-4","DTXSID6020856","N-Methyl-2-pyrrolidone",99.133
"7311-30-0","DTXSID90223387","N-Methyldodecylamine",199.382
"2355-31-9","DTXSID10624392","2-(N-Methylperfluorooctanesulfonamido)acetic acid",571.2
"104-40-5","DTXSID5033836","4-Nonylphenol",220.356
"104-35-8","DTXSID4058601","4-Nonylphenol ethoxylate",264.409
"27986-36-3","DTXSID9043809","Ethylene glycol nonylphenyl ether",NA
"28065-23-8","DTXSID50622271","2-Phenoxyundecanoic acid",278.392
"51437-90-2","DTXSID60563106","2-[2-(4-Octylphenoxy)ethoxy]ethan-1-ol",294.435
"26636-32-8","DTXSID50897482","Ethoxylated 4-octylphenol",NA
"140-66-9","DTXSID9022360","4-(1,1,3,3-Tetramethylbutyl)phenol",206.329
"375-73-5","DTXSID5030030","Perfluorobutanesulfonic acid",300.09
"375-22-4","DTXSID4059916","Perfluorobutanoic acid",214.039
"335-77-3","DTXSID3040148","Perfluorodecanesulfonic acid",600.14
"335-76-2","DTXSID3031860","Perfluorodecanoic acid",514.086
"52299-26-0","DTXSID40879833","Perfluorodecylphosphonic acid",600.063
"307-55-1","DTXSID8031861","Perfluorododecanoic acid",614.101
"375-92-8","DTXSID8059920","Perfluoroheptanesulfonic acid",450.12
"375-85-9","DTXSID1037303","Perfluoroheptanoic acid",364.062
"40143-76-8","DTXSID90880439","Perfluorohexyl phosphonic acid",400.032
"355-46-4","DTXSID7040150","Perfluorohexanesulfonic acid",400.11
"307-24-4","DTXSID3031862","Perfluorohexanoic acid",314.054
"610800-34-5 ",NA,NA,NA
"68259-12-1","DTXSID8071356","Perfluorononanesulfonic acid",550.13
"375-95-1","DTXSID8031863","Perfluorononanoic acid",464.078
"754-91-6","DTXSID3038939","Perfluorooctanesulfonamide",499.14
"1763-23-1","DTXSID3031864","Perfluorooctanesulfonic acid",500.13
"335-67-1","DTXSID8031865","Perfluorooctanoic acid",414.07
"40143-78-0","DTXSID80879832","(Perfluorooctyl)phosphonic acid",500.048
"2706-91-4","DTXSID8062600","Perfluoropentanesulfonic acid",350.1
"2706-90-3","DTXSID6062599","Perfluoropentanoic acid",264.047
"376-06-7","DTXSID3059921","Perfluorotetradecanoic acid",714.117
"72629-94-8","DTXSID90868151","Perfluorotridecanoic acid",664.109
"2058-94-8","DTXSID8047553","Perfluoroundecanoic acid",564.093
"67905-19-5","DTXSID1070800","Perfluorohexadecanoic acid",814.132
"16517-11-6","DTXSID1066071","Perfluorooctadecanoic acid",914.148
"77-09-8","DTXSID0021125","Phenolphthalein",318.328
"90-43-7","DTXSID2021151","2-Phenylphenol",170.211
"78-40-0","DTXSID8026228","Triethyl phosphate",182.156
"115-86-6","DTXSID1021952","Triphenyl phosphate",326.288
"85-68-7","DTXSID3020205","Benzyl butyl phthalate",312.365
"84-66-2","DTXSID7021780","Diethyl phthalate",222.24
"84-74-2","DTXSID2021781","Dibutyl 1,2-benzenedicarboxylate",278.348
"117-84-0","DTXSID1021956","Di-n-octyl phthalate",390.564
"84-62-8","DTXSID3021778","Diphenyl phthalate",318.328
"57-56-7","DTXSID7043823","Semicarbazide",75.071
"128-39-2","DTXSID6027052","2,6-Di-tert-butylphenol",206.329
"58-90-2","DTXSID9021716","2,3,4,6-Tetrachlorophenol",231.88
"1154-59-2","DTXSID4040767","3,5-Dichlorosalicyl-3,4-dichloroanilide",351
"70-55-3","DTXSID8029105","4-Toluenesulfonamide",171.21
"102-82-9","DTXSID4026183","Tributylamine",185.355
"101-20-2","DTXSID4026214","Triclocarban",315.58
"77-93-0","DTXSID0040701","Triethyl citrate",276.285
"112-49-2","DTXSID8026224","Triethylene glycol dimethyl ether",178.228
"10108-86-8","DTXSID90905939","N,N,N-Trimethyloctan-1-aminium chloride",207.79
"129-73-7","DTXSID7031531","Leucomalachite green",330.475
"1076-38-6","DTXSID8061472","2H-1-Benzopyran-2-one, 4-hydroxy-",162.144
"27195-25-1","DTXSID40949929","17-Hydroxyandrostan-3-yl hexopyranuronate",468.587
"244-69-9","DTXSID80179147","gamma-Carboline",168.199
"54-16-0","DTXSID50861582","(5-Hydroxy-1H-indol-3-yl)acetic acid",191.186
"53-35-0","DTXSID00967467","6,11,17,21-Tetrahydroxypregn-4-ene-3,20-dione",378.465
"302-27-2","DTXSID4046319","Aconitine",645.746
"520-75-2","DTXSID6022557","Adenine",135.13
"58-61-7","DTXSID1022558","Adenosine",267.245
"58-85-5","DTXSID7022679","Biotin",244.31
"357-57-3","DTXSID2024662","Brucine",394.471
"60-27-5","DTXSID8045987","Creatinine",113.12
"66-81-9","DTXSID6024882","Cycloheximide",281.352
"161599-46-8","DTXSID40167207","2',3'-Di-O-acetyl-5'-deoxy-5-fluorocytidine",329.284
"486-66-8","DTXSID9022310","Daidzein",254.241
"512-04-9","DTXSID00895074","Diosgenin",414.63
"51-43-4","DTXSID5022986","(-)-Epinephrine",183.207
"531-75-9","DTXSID7045318","Esculin",340.284
"536-21-0","DTXSID3048314","Norfenefrine",153.181
"446-72-0","DTXSID5022308","Genistein",270.24
"77-06-5","DTXSID0020656","Gibberellic acid",346.379
"19210-12-9","DTXSID101032528","Harpagoside",494.493
"303-33-3","DTXSID3075381","Heliotrine",313.394
"6209-65-0","DTXSID50977677","Heliotrine N-oxide",329.393
"51-45-6","DTXSID4023125","Histamine",111.148
"4998-57-6","DTXSID00901785","DL-Histidine",155.157
"489-32-7","DTXSID00964133","Icariin",676.668
"500-64-1","DTXSID5033595","(+)-Kavain",230.263
"10285-07-1","DTXSID60145542","Lycopsamine",299.367
"95462-15-0","DTXSID801353569","(+)-Lycopsamine-N-oxide",315.366
"174418-82-7","DTXSID20903988","7-Hydroxymitragynine",414.502
"315-22-0","DTXSID9020902","Monocrotaline",325.361
"35337-98-5","DTXSID70956767","Monocrotaline N-oxide",341.36
"98-92-0","DTXSID2020929","Niacinamide",122.127
"51-63-8","DTXSID2057865","Dextroamphetamine sulfate",368.49
"7531-52-4","DTXSID00226268","L-Prolinamide",114.148
"65-23-6","DTXSID4023541","Pyridoxine",169.18
"51-34-3","DTXSID6023573","Scopolamine",303.358
"51-67-2","DTXSID2043874","Tyramine",137.182
"128-13-2","DTXSID6023731","Ursodeoxycholic acid",392.58
"6625-54-3","DTXSID80280242","1-Chloromethyl-5-nitronaphthalene",221.64
"26172-55-4","DTXSID9034286","5-Chloro-2-methyl-3(2H)-isothiazolone",149.59
"578-95-0","DTXSID8060371","9(10H)-Acridinone",195.221
"618-39-3","DTXSID8045012","Benzenecarboximidamide",120.155
"3734-22-3","DTXSID90190782","2(5H)Furanone, 3-benzyl-4-hydroxy-",190.198
"147676-66-2","DTXSID70163777","Gendenafil",354.41
"28159-98-0","DTXSID3032416","Cybutryne",253.37
"30125-65-6","DTXSID10891446","Deethylterbutryne",213.3
"77500-04-0","DTXSID1020801","MeIQx",213.244
"51169-17-6","DTXSID701023654","5-(4-Methylphenyl)-5-phenylimidazolidine-2,4-dione",266.3
"72084-13-0","DTXSID50391112","2-phenoxybenzamide",213.236
"106105-17-3","DTXSID40909922","[(2-Butyl-6,7-dichloro-2-cyclopentyl-1-oxo-2,3-dihydro-1H-inden-5-yl)oxy]acetic acid",399.31
"97825-25-7","DTXSID7048378","Ractopamine",301.386
"501-36-0","DTXSID4031980","Resveratrol",228.247
"480-54-6","DTXSID6021242","Retrorsine",351.399
"15503-86-3","DTXSID4020747","Isatidine",367.398
"130-01-8","DTXSID40871615","Senecionine",335.4
"13268-67-2","DTXSID901016615","Senecionine N-oxide",351.399
"480-81-9","DTXSID8026016","Seneciphylline",333.384
"38710-26-8","DTXSID301016605","Seneciphylline N-oxide",349.383
"2318-18-5","DTXSID4021266","Senkirkine",365.426
"371959-09-0","DTXSID00365484","Norneo Sildenafil",459.57
"856190-47-1","DTXSID20234860","Sulfoaildenafil",504.67
"479073-80-8","DTXSID90197337","Thiohomosildenafil",504.67
"1446089-82-2","DTXSID901366731","Benzyl sildenafil",550.68
"496835-35-9","DTXSID10197970","Methisosildenafil",488.61
"139755-85-4","DTXSID60161161","Lodenafil",504.61
"479073-82-0","DTXSID50197338","Hydroxythiohomosildenafil",520.67
"479073-79-5","DTXSID30197336","Thiosildenafil",490.64
"4098-40-2","DTXSID701032140","Mitragynine",398.503
"842-07-9","DTXSID4021135","C.I. Solvent Yellow 14",248.285
"3118-97-6","DTXSID5040706","C.I. Solvent Orange 7",276.339
"24341-30-8","DTXSID90891444","N4-Acetylsulfadimethoxine",352.37
"83732-70-1","DTXSID10232597","Sodium 6-chloro-3-hydroxy-4-isopropyltoluene-2-sulphonate",286.7
"532-80-9","DTXSID70904723","(+)-Synephrine",167.208
"52671-39-3/365-26-4",NA,NA,NA
"385769-84-6","DTXSID50191896","Aminotadalafil",390.399
"171596-31-9","DTXSID40747280","(6R,12aS)-6-(2H-1,3-Benzodioxol-5-yl)-2-butyl-2,3,6,7,12,12a-hexahydropyrazino[1',2':1,6]pyrido[3,4-b]indole-1,4-dione",431.492
"1261351-28-3","DTXSID50858558","2-{2-Ethoxy-5-[(4-ethylpiperazin-1-yl)acetyl]phenyl}-5-methyl-7-propylimidazo[5,1-f][1,2,4]triazin-4(1H)-one",466.586
"224785-98-2","DTXSID40431379","2-[2-ethoxy-5-[4-(2-hydroxyethyl)piperazin-1-yl]sulfonylphenyl]-5-methyl-7-propyl-3H-imidazo[5,1-f][1,2,4]triazin-4-one",504.61
"224788-34-5","DTXSID00177004","Pseudovardenafil",459.57
"615-05-4","DTXSID5041358","2,4-Diaminoanisole",138.17
"15301-40-3","DTXSID4046521","Actinoquinol",253.27
"60207-31-0","DTXSID3041613","Azaconazole",300.14
"127-68-4","DTXSID2027048","Sodium 3-nitrobenzenesulfonate",225.15
"131-57-7","DTXSID3022405","2-Hydroxy-4-methoxybenzophenone",228.247
"719-59-5","DTXSID0052463","2-Amino-5-chlorobenzophenone",231.68
"1775-95-7","DTXSID40170317","2-Amino-5-nitrobenzophenone",242.234
"4065-45-6","DTXSID2042436","Sulisobenzone",308.3
"15435-29-7","DTXSID90165596","Bromochlorophene",426.91
"52-51-7","DTXSID8024652","Bronopol",199.988
"60-11-7","DTXSID5020491","C.I. Solvent Yellow 2",225.295
"120-32-1","DTXSID5020154","Clorophene",218.68
"1222-05-5","DTXSID8027373","1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",258.405
"80-73-9","DTXSID1073153","1,3-Dimethyl-2-imidazolidinone",114.148
"99-76-3","DTXSID4022529","Methylparaben",152.149
"80135-31-5","DTXSID9025299","2-Ethylhexyl-2-cyano-3,3-diphenylacrylate",361.485
"27503-81-7","DTXSID3038852","Ensulizole",274.29
"94-13-3","DTXSID4022527","Propylparaben",180.203
"3380-34-5","DTXSID5032498","Triclosan",289.54
"256393-37-0","DTXSID101347733","(S)-Galaxolidone",272.388
"68392-35-8","DTXSID3037094","4-Hydroxytamoxifen",387.523
"39546-32-2","DTXSID7068182","4-Piperidinecarboxamide",128.175
"51-21-8","DTXSID2020634","5-Fluorouracil",130.078
"50-44-2","DTXSID0020810","6-Mercaptopurine",152.18
"77337-76-9","DTXSID3044259","Acamprosate",181.21
"37517-30-9","DTXSID2048539","Acebutolol",336.432
"827-61-2","DTXSID2045658","Aceclidine",169.224
"954-67-6",NA,NA,NA
"53164-05-9","DTXSID7022540","Acemetacin",415.83
"13461-01-3","DTXSID00864407","Acepromethazine",326.46
"59-66-5","DTXSID7022544","Acetazolamide",222.24
"299-89-8","DTXSID801043380","Acetiamine",366.44
"831217-01-7","DTXSID10232178","Acetildenafil",466.586
"968-81-0","DTXSID7020007","Acetohexamide",324.4
"50-78-2","DTXSID5020108","Aspirin",180.159
"59277-89-3","DTXSID1022556","Acyclovir",225.208
"87848-99-5","DTXSID6022555","Acrivastine",348.446
"4360-12-7","DTXSID6045537","Ajmaline",326.44
"54965-21-8","DTXSID0022563","Albendazole",265.33
"34271-50-6","DTXSID001317232","(+)-Salbutamol",239.315
"69049-06-5","DTXSID0048927","Alfentanil hydrochloride",452.98
"84-96-8","DTXSID9023708","Trimeprazine",298.45
"173334-57-1","DTXSID40891494","Aliskiren",551.769
"59338-93-1","DTXSID10866755","Alizapride",315.377
"315-30-0","DTXSID4022573","Allopurinol",136.114
"27469-53-0","DTXSID4057899","Almitrine",477.564
"13655-52-2","DTXSID0045127","Alprenolol",249.354
"5749-48-4","DTXSID90973017","Selenocyanate",104.99
"645-05-6","DTXSID4022579","Hexamethylmelamine",210.285
"963-07-5","DTXSID70242192","Amydricaine",278.396
"768-94-5","DTXSID8022117","Amantadine",151.253
"18683-91-5","DTXSID8022583","Ambroxol",378.108
"51022-69-6","DTXSID6045905","Amcinonide",502.579
"37571-84-9","DTXSID40862664","Amidephrine",244.31
"2609-46-3","DTXSID9043853","Amiloride",229.63
"125-84-8","DTXSID8022589","Aminoglutethimide",232.283
"123-82-0","DTXSID6048468","2-Aminoheptane",115.22
"58-15-1","DTXSID7020504","4-Dimethylaminoantipyrine",231.299
"2207-50-3","DTXSID00862867","Aminorex",162.192
"1951-25-3","DTXSID7022592","Amiodarone",645.32
"88150-42-9","DTXSID7022596","Amlodipine",408.88
"78613-35-1","DTXSID0046690","Amorolfine",317.517
"26787-78-0","DTXSID3037044","Amoxicillin",365.4
"69-53-4","DTXSID4022602","Ampicillin",349.41
"60719-84-8","DTXSID9022603","Amrinone",187.202
"120511-73-1","DTXSID9022607","Anastrozole",293.374
"401900-40-1","DTXSID40193187","Andarine",441.363
"91-75-8","DTXSID3022613","Antazoline",265.36
"58-00-4","DTXSID8022614","Apomorphine",267.328
"7568-93-6","DTXSID10864094","(±)-Phenylethanolamine",137.182
"66711-21-5","DTXSID1048415","Apraclonidine",245.11
"37640-71-4","DTXSID3022615","Aprindine",322.496
"528-92-7","DTXSID00862125","Allylisopropylacetylurea",184.239
"55779-18-5","DTXSID3057773","Arprinocid",277.69
"68844-77-9","DTXSID9020110","Astemizole",458.581
"198904-31-3","DTXSID9048691","Atazanavir",704.869
"29122-68-7","DTXSID2022628","Atenolol",266.341
"56392-14-4","DTXSID70881080","Metoprolol acid",267.325
"81346-71-6","DTXSID10557479","2-[4-(3-Amino-2-hydroxypropoxy)phenyl]acetamide",224.26
"134523-00-5","DTXSID8029868","Atorvastatin",558.65
"148146-51-4","DTXSID001355523","Atorvastatin Epoxide",431.463
"51-55-8","DTXSID4020113","(+/-)-Atropine",289.375
"330784-47-9","DTXSID50186727","Avanafil",483.96
"2537-29-3","DTXSID20862980","Proxibarbital",226.232
"13539-59-8","DTXSID6045408","Azapropazone",300.362
"3964-81-6","DTXSID6022636","Azatadine",290.41
"58581-89-8","DTXSID6022638","Azelastine",381.9
"120162-55-2","DTXSID8041614","Azimsulfuron",424.4
"83905-01-5","DTXSID8030760","Azithromycin",748.996
"1134-47-0","DTXSID5022641","Baclofen",213.66
"81732-65-2","DTXSID5048550","Bambuterol",367.446
"2016-63-9","DTXSID0022642","Bamifylline",385.468
"4945-47-5","DTXSID5057751","Bamipine",280.415
"57-44-3","DTXSID5022643","Barbital",184.195
"57-43-2","DTXSID9020081","Amobarbital",226.276
"561-86-4","DTXSID60204648","Brallobarbital",287.113
"76-74-4","DTXSID7023435","Pentobarbital",226.276
"50-06-6","DTXSID5021122","Phenobarbital",232.239
"125-40-6","DTXSID2022709","Butabarbital",212.249
"76-73-3","DTXSID6044145","Secobarbital",238.287
"1639-79-8","DTXSID10167678","Barverin",509.695
"501-68-8","DTXSID5057755","Beclamide",197.66
"39552-01-7","DTXSID80865957","1-(7-{2-Hydroxy-3-[(propan-2-yl)amino]propoxy}-1-benzofuran-2-yl)ethan-1-one",291.347
"73-48-3","DTXSID5022647","Bendroflumethiazide",421.41
"5003-48-5","DTXSID5022649","Benorylate",313.309
"2156-27-6","DTXSID10862853","Benproperine",309.453
"322-35-0","DTXSID9022651","Benserazide",257.246
"29462-18-8","DTXSID40897431","Bentazepam",296.39
"1020251-53-9","DTXSID501031839","Benzamidenafil",389.408
"86-13-5","DTXSID9022659","Benztropine",307.437
"94-09-7","DTXSID8021804","Benzocaine",165.192
"17243-39-9","DTXSID4022654","Benzoctamine",249.357
"97-30-3","DTXSID7026605","Methyl alpha-D-glucopyranoside",194.183
"987-24-6","DTXSID8022668","Betamethasone acetate",434.504
"5593-20-4","DTXSID2022672","Betamethasone dipropionate",504.595
"2152-44-5","DTXSID7022673","Betamethasone valerate",476.585
"63659-18-7","DTXSID2022674","Betaxolol",307.434
"55-73-2","DTXSID7022677","Bethanidine",177.251
"153559-49-0","DTXSID1040619","Bexarotene",348.486
"41859-67-0","DTXSID3029869","Bezafibrate",361.82
"90357-06-5","DTXSID2022678","Bicalutamide",430.37
"514-65-8","DTXSID6022680","Biperiden",311.469
"603-50-9","DTXSID1022681","Bisacodyl",361.397
"66722-44-9","DTXSID6022682","Bisoprolol",325.449
"20448-86-6","DTXSID801043211","Bornaprine",329.484
"147536-97-8","DTXSID7046627","Bosentan",551.62
"138890-62-7","DTXSID6045531","Brinzolamide",383.5
"3572-43-8","DTXSID6022686","Bromhexine",376.136
"86-22-6","DTXSID5022691","Brompheniramine",319.246
"496-67-3","DTXSID2040656","Bromisovalum",223.07
"57801-81-7","DTXSID0022692","Brotizolam",393.69
"1083-57-4","DTXSID6020721","3-Hydroxy-4-butyrophenetidide",223.272
"51333-22-3","DTXSID8020202","Budesonide",430.541
"57982-78-2","DTXSID20206709","Budipine",293.454
"2438-72-4","DTXSID7045368","Bufexamac",223.272
"28395-03-1","DTXSID5022699","Bumetanide",364.42
"34915-68-9","DTXSID2022701","Bunitrolol",248.326
"2180-92-9","DTXSID2022703","Bupivacaine",288.435
"14556-46-8","DTXSID7022704","Bupranolol",271.79
"52485-79-7","DTXSID2022705","Buprenorphine",467.65
"36505-84-7","DTXSID2022707","Buspirone",385.512
"2043-38-1","DTXSID6022713","Buthiazide",353.84
"3772-43-8","DTXSID50870957","2-(Diethylamino)ethyl 4-butoxybenzoate",293.407
"30924-31-3","DTXSID60184916","Cafaminol",267.289
"132722-73-7","DTXSID701492497","Calcium;2-[4-(carboxylatomethyl)-7-(carboxymethyl)-10-(2-hydroxypropyl)-1,4,7,10-tetrazacyclododec-1-yl]acetate",442.526
"26097-80-3","DTXSID0046852","Cambendazole",302.35
"139481-59-7","DTXSID0022725","Candesartan",440.463
"145040-37-5","DTXSID5020239","Candesartan cilexetil",610.671
"976-71-6","DTXSID3045930","Canrenone",340.463
"154361-50-9","DTXSID3046451","Capecitabine",359.354
"404-86-4","DTXSID9020241","Capsaicin",305.418
"62571-86-2","DTXSID1037197","Captopril",217.28
"57775-29-8","DTXSID00866648","Carazolol",298.386
"51-83-2","DTXSID9022730","Carbachol",182.65
"298-46-4","DTXSID4022731","Carbamazepine",236.274
"90-89-1","DTXSID1022928","Diethylcarbamazine",199.298
"486-16-8","DTXSID4022737","Carbinoxamine",290.79
"944241-52-5","DTXSID00747822","5-[2-Ethoxy-5-(4-ethylpiperazine-1-carbonyl)phenyl]-1-methyl-3-propyl-1,4-dihydro-7H-pyrazolo[4,3-d]pyrimidin-7-one",452.559
"339-43-5","DTXSID8022741","Carbutamide",271.34
"34866-47-2","DTXSID00865737","N-{5-[2-(tert-Butylamino)-1-hydroxyethyl]-2-hydroxyphenyl}urea",267.329
"78-44-4","DTXSID8024733","Carisoprodol",260.334
"53716-49-7","DTXSID1045871","Carprofen",273.72
"51781-06-7","DTXSID3022746","Carteolol",292.379
"23964-58-1","DTXSID7048536","Articaine",284.37
"72956-09-3","DTXSID8022747","Carvedilol",406.482
"53994-73-3","DTXSID3022748","Cefaclor",367.8
"50370-12-2","DTXSID8022749","Cefadroxil",363.39
"15686-71-2","DTXSID9022780","Cephalexin",347.39
"5575-21-3","DTXSID5045388","Cefalonium",458.51
"25953-19-9","DTXSID2022753","Cefazolin",454.5
"62893-19-0","DTXSID2022759","Cefoperazone",645.67
"84957-30-2","DTXSID00894103","Cefquinome",528.6
"72558-82-8","DTXSID5022770","Ceftazidime",546.57
"80370-57-6","DTXSID7046702","Ceftiofur",523.55
"169590-42-5","DTXSID0022777","Celecoxib",381.37
"56980-93-9","DTXSID3020259","Celiprolol",379.501
"145599-86-6","DTXSID9022786","Cerivastatin",459.558
"83881-51-0","DTXSID4022787","Cetirizine",388.89
"56-75-7","DTXSID7020265","Chloramphenicol",323.13
"500-42-5","DTXSID0049026","Chlorazanil",221.65
"522-18-9","DTXSID80862108","Chlorbenzoxamine",435.01
"82-93-9","DTXSID9048011","Chlorcyclizine",300.83
"80-77-3","DTXSID3022798","Chlormezanone",273.73
"1058653-74-9","DTXSID20747329","5-[5-(Chloroacetyl)-2-ethoxyphenyl]-1-methyl-3-propyl-1,4-dihydro-7H-pyrazolo[4,3-d]pyrimidin-7-one",388.85
"171489-59-1","DTXSID601347683","Chloropretadalafil",426.85
"59-32-5","DTXSID50207729","Chloropyramine [INN:BAN:DCF]",289.81
"54-05-7","DTXSID2040446","Chloroquine",319.88
"58-94-6","DTXSID0022800","Chlorothiazide",295.71
"22632-00-4","DTXSID50945290","2-(2-Chloro-10H-phenothiazin-10-yl)-N,N-dimethylethan-1-amine--hydrogen chloride (1/1)",341.29
"132-22-9","DTXSID0022804","Chlorpheniramine",274.79
"94-20-2","DTXSID9020322","Chlorpropamide",276.74
"57-62-5","DTXSID9022811","Chlortetracycline",478.88
"77-36-1","DTXSID4022812","Chlorthalidone",338.76
"82009-34-5","DTXSID8048238","Cilastatin",358.45
"88768-40-5","DTXSID1048629","Cilazapril",417.506
"54239-37-1","DTXSID2045652","Cimaterol",219.288
"51481-61-9","DTXSID4020329","Cimetidine",252.34
"85-79-0","DTXSID3045271","Dibucaine",343.471
"132-60-5","DTXSID0040705","Cinchophen",249.269
"1446089-83-3","DTXSID701101567","5-[2-Ethoxy-5-[2-[4-(3-phenyl-2-propen-1-yl)-1-piperazinyl]acetyl]phenyl]-1,6-dihydro-1-methyl-3-propyl-7H-pyrazolo[4,3-d]pyrimidin-7-one",554.695
"298-57-7","DTXSID3022821","Cinnarizine",368.524
"28657-80-9","DTXSID8022822","Cinoxacin",262.221
"85721-33-1","DTXSID8022824","Ciprofloxacin",331.347
"81098-60-4","DTXSID3022825","Cisapride",465.95
"30544-61-7","DTXSID10184628","Clanobutin",347.8
"81103-11-9","DTXSID3022829","Clarithromycin",747.964
"101831-36-1","DTXSID30869364","[2-Chloro-4-(3,5-dioxo-4,5-dihydro-1,2,4-triazin-2(3H)-yl)phenyl](4-chlorophenyl)acetonitrile",373.19
"15686-51-8","DTXSID2022832","Clemastine",343.9
"37148-27-9","DTXSID7022833","Clenbuterol",277.19
"15302-10-0","DTXSID80864581","N-(2,4-Dichlorophenyl)-3-(piperidin-1-yl)butanamide",315.24
"7020-55-5","DTXSID6045379","Clidinium",352.453
"38083-17-9","DTXSID6046555","Climbazole",292.76
"18323-44-9","DTXSID2022836","Clindamycin",424.98
"22316-47-8","DTXSID2046759","Clobazam",300.74
"1159-93-9","DTXSID50151218","Clobenzepam",315.8
"25122-41-2","DTXSID2048955","Clobetasol",410.91
"25122-46-7","DTXSID6045907","Clobetasol propionate",466.97
"25122-57-0","DTXSID3046823","Clobetasone butyrate",478.99
"14860-49-2","DTXSID2022838","Clobutinol",255.79
"637-07-0","DTXSID3020336","Clofibrate",242.7
"533-45-9","DTXSID6022842","Clomethiazole",161.65
"1622-61-3","DTXSID1022845","Clonazepam",315.71
"4205-90-7","DTXSID6022846","Clonidine",230.09
"636-54-4","DTXSID1022847","Clopamide",345.84
"3703-76-2","DTXSID7048532","Cloperastine",329.87
"90055-48-4","DTXSID70861221","(+/-)-Clopidogrel",321.82
"2971-90-6","DTXSID8041793","Clopidol",192.04
"3811-25-4","DTXSID3048316","Clorprenaline",213.71
"57808-65-8","DTXSID6040662","Closantel",663.07
"23593-75-1","DTXSID7029871","Clotrimazole",344.84
"64-86-8","DTXSID5024845","Colchicine",399.443
"77175-51-0","DTXSID6058475","Croconazole",310.78
"483-63-6","DTXSID6040664","Crotamiton",203.285
"6168-76-9","DTXSID60891471","Crotetamide",226.32
"82-92-8","DTXSID4022864","Cyclizine",266.388
"303-53-7","DTXSID0046933","Cyclobenzaprine",275.395
"512-15-2","DTXSID3048528","Cyclopentolate",291.391
"1173706-34-7",NA,NA,NA
"50-18-0","DTXSID5020364","Cyclophosphamide",261.08
"2259-96-3","DTXSID3022871","Cyclothiazide",389.87
"579-23-7","DTXSID7046386","Cyclovalone",366.413
"129-03-3","DTXSID8022872","Cyproheptadine",287.406
"2098-66-0","DTXSID3022873","Cyproterone",374.91
"147-94-4","DTXSID3022877","Cytarabine",243.219
"115-93-5","DTXSID8041828","Cythioate",297.28
"2022-85-7","DTXSID3023059","Flucytosine",129.094
"112398-08-0","DTXSID0046432","Danofloxacin",357.385
"72822-12-9","DTXSID90223140","Dapiprazole",325.46
"119356-77-3","DTXSID0057627","Dapoxetine",305.421
"80-08-0","DTXSID4020371","Dapsone",248.3
"206361-99-1","DTXSID0046779","Darunavir",547.67
"1131-64-2","DTXSID7022885","Debrisoquin",175.235
"18507-89-6","DTXSID5046851","Decoquinate",417.546
"14484-47-0","DTXSID9020378","Deflazacort",441.524
"3579-62-2","DTXSID10189315","Denaverine",383.532
"14611-51-9","DTXSID6023575","Selegiline",187.286
