"cas_number","dtxsid","preferred_name","mw_g_mol"
"23950-58-5","DTXSID2020420","Propyzamide",256.13
"94125-34-5","DTXSID9034868","Prosulfuron",419.38
"123312-89-0","DTXSID2032637","Pymetrozine",217.232
"175013-18-0","DTXSID7032638","Pyraclostrobin",387.82
"96489-71-3","DTXSID5032573","Pyridaben",364.93
"95737-68-1","DTXSID1032640","Pyriproxyfen",321.376
"152019-74-4","DTXSID80651579","[(2‐Ethyl‐6‐methylphenyl)carbamoyl]formic acid",207.229
"1982-49-6","DTXSID7032474","Siduron",232.327
"122-34-9","DTXSID4021268","Simazine",201.66
"122836-35-5","DTXSID6032645","Sulfentrazone",387.18
"141776-32-1","DTXSID4034940","Sulfosulfuron",470.48
"65600-62-6","DTXSID40215858","2,3,3-Trichloro-2-propenesulfonic acid",225.46
"107534-96-3","DTXSID9032113","Tebuconazole",307.82
"112410-23-8","DTXSID4034948","Tebufenozide",352.478
"96182-53-5","DTXSID1032482","Tebupirimfos",318.37
"34014-18-1","DTXSID3024316","Tebuthiuron",228.31
"39222-73-6","DTXSID9068168","5-(1,1-Dimethylethyl)-1,3,4-thiadiazol-2-amine",157.24
"5902-51-2","DTXSID8024317","Terbacil",216.67
"13071-79-9","DTXSID2022254","Terbufos",288.42
"56070-14-5","DTXSID0037601","Terbufos oxon",272.36
"56165-57-2","DTXSID00971544","O,O-Diethyl S-[(2-methylpropane-2-sulfinyl)methyl] phosphorothioate",288.36
"56070-16-7","DTXSID1042443","Terbufos sulfone",320.42
"56070-15-6","DTXSID5037604","Terbufos OA sulfone",304.36
"10548-10-4","DTXSID6042444","Terbufos sulfoxide",304.42
"5915-41-3","DTXSID4027608","Terbutylazine",229.71
"112281-77-3","DTXSID8034956","Tetraconazole",372.14
"28249-77-6","DTXSID6024337","Thiobencarb",257.78
"61949-77-7","DTXSID4037611","trans-Permethrin",391.29
"2303-17-5","DTXSID5024344","Tri-allate",304.65
"78-48-8","DTXSID1024174","Tribufos",314.5
